Tom Carper,M,Caucasian/White,1947,null,null,1993,2001,Delaware
Ruth Ann Minner,F,Caucasian/White,1935,null,null,2001,2009,Delaware
Jack Markell,M,Caucasian/White,1960,null,null,2009,2017,Delaware
John Carney,M,Caucasian/White,1956,null,null,2017,2020,Delaware
Claude R. Kirk Jr.,M,Caucasian/White,1926,null,null,1967,1971,Florida
Reubin Askew,M,Caucasian/White,1928,null,null,1971,1979,Florida
Bob Graham,M,Caucasian/White,1936,null,null,1979,1987,Florida
Wayne Mixson,M,Caucasian/White,1922,null,null,1987,1987,Florida
Bob Martinez,M,Caucasian/White,1934,null,null,1987,1991,Florida
Lawton Chiles,M,Caucasian/White,1930,null,null,1991,1998,Florida
Buddy MacKay,M,Caucasian/White,1933,null,null,1998,1999,Florida
Jeb Bush,M,Caucasian/White,1953,null,null,1999,2007,Florida
Charlie Crist,M,Caucasian/White,1956,null,null,2007,2011,Florida
Rick Scott,M,Caucasian/White,1952,null,null,2011,2019,Florida
Ron DeSantis,M,Caucasian/White,1978,null,null,2019,2020,Florida
Lester Maddox,M,Caucasian/White,1915,null,null,1967,1971,Georgia
Jimmy Carter,M,Caucasian/White,1924,null,null,1971,1975,Georgia
George Busbee,M,Caucasian/White,1927,null,null,1975,1983,Georgia
Joe Frank Harris,M,Caucasian/White,1936,null,null,1983,1991,Georgia
Zell Miller,M,Caucasian/White,1932,null,null,1991,1999,Georgia
Roy Barnes,M,Caucasian/White,1948,null,null,1999,2003,Georgia
Sonny Perdue,M,Caucasian/White,1946,null,null,2003,2011,Georgia
Nathan Deal,M,Caucasian/White,1942,null,null,2011,2019,Georgia
Brian Kemp,M,Caucasian/White,1963,null,null,2019,2020,Georgia
John A. Burns,M,Caucasian/White,1909,null,null,1962,1974,Hawaii
George Ariyoshi,M,Asian/Pacific Islander,1926,null,null,1974,1986,Hawaii
John D. Waihee III,M,Asian/Pacific Islander,1946,null,null,1986,1994,Hawaii
Ben Cayetano,M,Asian/Pacific Islander,1939,null,null,1994,2002,Hawaii
Linda Lingle,F,Caucasian/White,1953,null,null,2002,2010,Hawaii
Neil Abercrombie,M,Caucasian/White,1938,null,null,2010,2014,Hawaii
David Ige,M,Asian/Pacific Islander,1957,null,null,2014,2020,Hawaii
Don Samuelson,M,Caucasian/White,1913,null,null,1967,1971,Idaho
