Mark Warner,M,white,1954,null,null,2009,2020,Virginia
Tim Kaine,M,white,1958,null,null,2013,2020,Virginia
Patty Murray,F,white,1950,null,null,1993,2020,Washington
Maria Cantwell,F,white,1958,null,null,2001,2020,Washington
Joe Manchin,M,white,1947,null,null,2010,2020,West Virginia
Shelley Moore Capito,F,white,1953,null,null,2015,2020,West Virginia
Ron Johnson,M,white,1955,null,null,2011,2020,Wisconsin
Tammy Baldwin,F,white,1962,null,null,2013,2020,Wisconsin
Mike Enzi,M,white,1944,null,null,1997,2020,Wyoming
John Barrasso,M,white,1952,null,null,2007,2020,Wyoming
Donald W. Stewart,M,white,1940,null,null,1978,1981,Alabama
Jeff Sessions,M,white,1946,null,null,1997,2017,Alabama
John Sparkman,M,white,1899,null,null,1946,1979,Alabama
Jeremiah Denton,M,white,1924,null,null,1981,1987,Alabama
Howell Heflin,M,white,1921,null,null,1979,1997,Alabama
Luther Strange,M,white,1953,null,null,2017,2018,Alabama
Maryon Pittman Allen,F,white,1925,null,null,1978,1978,Alabama
James B. Allen,M,white,1912,null,null,1969,1978,Alabama
Mark Begich,M,white,1962,null,null,2009,2015,Alaska
Mike Gravel,M,white,1930,null,null,1969,1981,Alaska
Ted Stevens,M,white,1923,null,null,1968,2009,Alaska
Frank Murkowski,M,white,1933,null,null,1981,2002,Alaska
Paul J. Fannin,M,white,1907,null,null,1965,1977,Arizona
Jon Kyl,M,white,1942,null,null,1995,2013,Arizona
Jon Kyl,M,white,1942,null,null,2018,2018,Arizona
Dennis DeConcini,M,white,1937,null,null,1977,1995,Arizona
Barry Goldwater,M,white,1909,null,null,1953,1965,Arizona
Barry Goldwater,M,white,1909,null,null,1969,1987,Arizona
John McCain,M,white,1936,null,null,1987,2018,Arizona
Jeff Flake,M,white,1962,null,null,2013,2019,Arizona
Martha McSally,F,white,1966,null,null,2019,2020,Arizona
John L. McClellan,M,white,1896,null,null,1943,1977,Arkansas
Blanche Lincoln,F,white,1960,null,null,1999,2011,Arkansas
J. William Fulbright,M,white,1905,null,null,1945,1974,Arkansas
Mark Pryor,M,white,1963,null,null,2003,2015,Arkansas
Tim Hutchinson,M,white,1949,null,null,1997,2003,Arkansas
David Pryor,M,white,1934,null,null,1979,1997,Arkansas
Kaneaster Hodges Jr.,M,white,1938,null,null,1977,1979,Arkansas
Dale Bumpers,M,white,1925,null,null,1975,1999,Arkansas
John F. Seymour,M,white,1937,null,null,1991,1992,California
John V. Tunney,M,white,1934,null,null,1971,1977,California
Pete Wilson,M,white,1933,null,null,1983,1991,California
Barbara Boxer,F,white,1940,null,null,1993,2017,California
George Murphy,M,white,1902,null,null,1965,1971,California
Alan Cranston,M,white,1914,null,null,1969,1993,California
Samuel I. Hayakawa,M,asian,1906,null,null,1977,1983,California
William L. Armstrong,M,white,1937,null,null,1979,1991,Colorado
Gary Hart,M,white,1936,null,null,1975,1987,Colorado
Ben Nighthorse Campbell,M,white,1933,null,null,1993,1995,Colorado
Ben Nighthorse Campbell,M,white,1933,null,null,1995,2005,Colorado
